maphuongxa,tenphuongxa,maquanhuyen,tenquanhuyen
27664,Thị trấn Cần Thạnh,787,Huyện Cần Giờ
27673,Xã An Thới Đông,787,Huyện Cần Giờ
27667,Xã Bình Khánh,787,Huyện Cần Giờ
27679,Xã Long Hòa,787,Huyện Cần Giờ
27682,Xã Lý Nhơn,787,Huyện Cần Giờ
27670,Xã Tam Thôn Hiệp,787,Huyện Cần Giờ
27676,Xã Thạnh An,787,Huyện Cần Giờ
78700,Khu lấn biển,787,Huyện Cần Giờ
26896,Phường 1,764,Quận Gò Vấp
26902,Phường 3,764,Quận Gò Vấp
26893,Phường 4,764,Quận Gò Vấp
26887,Phường 5,764,Quận Gò Vấp
26876,Phường 6,764,Quận Gò Vấp
26890,Phường 7,764,Quận Gò Vấp
26898,Phường 8,764,Quận Gò Vấp
26897,Phường 9,764,Quận Gò Vấp
26884,Phường 10,764,Quận Gò Vấp
26899,Phường 11,764,Quận Gò Vấp
26881,Phường 12,764,Quận Gò Vấp
26872,Phường 13,764,Quận Gò Vấp
26882,Phường 14,764,Quận Gò Vấp
26869,Phường 15,764,Quận Gò Vấp
26878,Phường 16,764,Quận Gò Vấp
26875,Phường 17,764,Quận Gò Vấp
26797,Phường Bình Chiểu,762,Quận Thủ Đức
26824,Phường Bình Thọ,762,Quận Thủ Đức
26812,Phường Hiệp Bình Chánh,762,Quận Thủ Đức
26809,Phường Hiệp Bình Phước,762,Quận Thủ Đức
26815,Phường Linh Chiểu,762,Quận Thủ Đức
26821,Phường Linh Đông,762,Quận Thủ Đức
26818,Phường Linh Tây,762,Quận Thủ Đức
26800,Phường Linh Trung,762,Quận Thủ Đức
26794,Phường Linh Xuân,762,Quận Thủ Đức
26803,Phường Tam Bình,762,Quận Thủ Đức
26806,Phường Tam Phú,762,Quận Thủ Đức
26827,Phường Trường Thọ,762,Quận Thủ Đức
27058,Phường 1,768,Quận Phú Nhuận
27061,Phường 2,768,Quận Phú Nhuận
27055,Phường 3,768,Quận Phú Nhuận
27043,Phường 4,768,Quận Phú Nhuận
27046,Phường 5,768,Quận Phú Nhuận
27052,Phường 7,768,Quận Phú Nhuận
27064,Phường 8,768,Quận Phú Nhuận
27049,Phường 9,768,Quận Phú Nhuận
27070,Phường 10,768,Quận Phú Nhuận
27073,Phường 11,768,Quận Phú Nhuận
27082,Phường 12,768,Quận Phú Nhuận
27085,Phường 13,768,Quận Phú Nhuận
27079,Phường 14,768,Quận Phú Nhuận
27067,Phường 15,768,Quận Phú Nhuận
27037,Phường Hiệp Tân,767,Quận Tân Phú
27034,Phường Hòa Thạnh,767,Quận Tân Phú
27028,Phường Phú Thạnh,767,Quận Tân Phú
27025,Phường Phú Thọ Hòa,767,Quận Tân Phú
27031,Phường Phú Trung,767,Quận Tân Phú
27016,Phường Sơn Kỳ,767,Quận Tân Phú
27019,Phường Tân Quý,767,Quận Tân Phú
27010,Phường Tân Sơn Nhì,767,Quận Tân Phú
27022,Phường Tân Thành,767,Quận Tân Phú
27040,Phường Tân Thới Hòa,767,Quận Tân Phú
27013,Phường Tây Thạnh,767,Quận Tân Phú
27595,Thị trấn Tân Túc,785,Huyện Bình Chánh
27625,Xã An Phú Tây,785,Huyện Bình Chánh
27637,Xã Bình Chánh,785,Huyện Bình Chánh
27619,Xã Bình Hưng,785,Huyện Bình Chánh
27607,Xã Bình Lợi,785,Huyện Bình Chánh
27631,Xã Đa Phước,785,Huyện Bình Chánh
27628,Xã Hưng Long,785,Huyện Bình Chánh
27610,Xã Lê Minh Xuân,785,Huyện Bình Chánh
27598,Xã Phạm Văn Hai,785,Huyện Bình Chánh
27622,Xã Phong Phú,785,Huyện Bình Chánh
27640,Xã Quy Đức,785,Huyện Bình Chánh
27616,Xã Tân Kiên,785,Huyện Bình Chánh
27613,Xã Tân Nhựt,785,Huyện Bình Chánh
27634,Xã Tân Quý Tây,785,Huyện Bình Chánh
27601,Xã Vĩnh Lộc A,785,Huyện Bình Chánh
27604,Xã Vĩnh Lộc B,785,Huyện Bình Chánh
27076,Phường 17,768,Quận Phú Nhuận
26977,Phường 1,766,Quận Tân Bình
26965,Phường 2,766,Quận Tân Bình
26980,Phường 3,766,Quận Tân Bình
26968,Phường 4,766,Quận Tân Bình
26989,Phường 5,766,Quận Tân Bình
26995,Phường 6,766,Quận Tân Bình
26986,Phường 7,766,Quận Tân Bình
26998,Phường 8,766,Quận Tân Bình
27001,Phường 9,766,Quận Tân Bình
26992,Phường 10,766,Quận Tân Bình
26983,Phường 11,766,Quận Tân Bình
26971,Phường 12,766,Quận Tân Bình
26974,Phường 13,766,Quận Tân Bình
27004,Phường 14,766,Quận Tân Bình
27007,Phường 15,766,Quận Tân Bình
26944,Phường 1,765,Quận Bình Thạnh
26941,Phường 2,765,Quận Bình Thạnh
26947,Phường 3,765,Quận Bình Thạnh
26923,Phường 5,765,Quận Bình Thạnh
26932,Phường 6,765,Quận Bình Thạnh
26926,Phường 7,765,Quận Bình Thạnh
26908,Phường 11,765,Quận Bình Thạnh
26917,Phường 12,765,Quận Bình Thạnh
26905,Phường 13,765,Quận Bình Thạnh
26935,Phường 14,765,Quận Bình Thạnh
26938,Phường 15,765,Quận Bình Thạnh
26950,Phường 17,765,Quận Bình Thạnh
26959,Phường 19,765,Quận Bình Thạnh
26953,Phường 21,765,Quận Bình Thạnh
26956,Phường 22,765,Quận Bình Thạnh
26929,Phường 24,765,Quận Bình Thạnh
27460,Phường An Lạc,777,Quận Bình Tân
27463,Phường An Lạc A,777,Quận Bình Tân
27436,Phường Bình Hưng Hòa,777,Quận Bình Tân
27439,Phường Bình Hưng Hoà A,777,Quận Bình Tân
27442,Phường Bình Hưng Hoà B,777,Quận Bình Tân
27445,Phường Bình Trị Đông,777,Quận Bình Tân
27448,Phường Bình Trị Đông A,777,Quận Bình Tân
26920,Phường 25,765,Quận Bình Thạnh
26914,Phường 26,765,Quận Bình Thạnh
26911,Phường 27,765,Quận Bình Thạnh
26962,Phường 28,765,Quận Bình Thạnh
27451,Phường Bình Trị Đông B,777,Quận Bình Tân
27454,Phường Tân Tạo,777,Quận Bình Tân
27457,Phường Tân Tạo A,777,Quận Bình Tân
26779,Phường An Phú Đông,761,Quận 12
26788,Phường Đông Hưng Thuận,761,Quận 12
26770,Phường Hiệp Thành,761,Quận 12
26776,Phường Tân Chánh Hiệp,761,Quận 12
26787,Phường Tân Hưng Thuận,761,Quận 12
26782,Phường Tân Thới Hiệp,761,Quận 12
26791,Phường Tân Thới Nhất,761,Quận 12
26767,Phường Thạnh Lộc,761,Quận 12
26764,Phường Thạnh Xuân,761,Quận 12
26773,Phường Thới An,761,Quận 12
26785,Phường Trung Mỹ Tây,761,Quận 12
